member_id,group_name,member_name,search_hint,include_terms,exclude_terms
idid__kim_minjae,IDID,Kim Minjae,"""아이딧"" 김민재",,
idid__park_wonbin,IDID,Park Wonbin,"""아이딧"" 박원빈",,
idid__chu_yoochan,IDID,Chu Yoochan,"""아이딧"" 추유찬",,
idid__park_seonghyeon,IDID,Park Seonghyeon,"""아이딧"" 박성현",,
idid__baek_junhyuk,IDID,Baek Junhyuk,"""아이딧"" 백준혁",,
idid__jeong_semin,IDID,Jeong Semin,"""아이딧"" 정세민",,
kickflip__kyehoon,KickFlip,Kyehoon,"""킥플립"" 계훈",,
kickflip__amaru,KickFlip,Amaru,"""킥플립"" 아마루",,
kickflip__donghwa,KickFlip,Donghwa,"""킥플립"" 동화",,
kickflip__juwang,KickFlip,Juwang,"""킥플립"" 주왕",,
kickflip__minje,KickFlip,Minje,"""킥플립"" 민제",,
kickflip__keiju,KickFlip,Keiju,"""킥플립"" 케이주",,
kickflip__donghyeon,KickFlip,Donghyeon,"""킥플립"" 동현",,
ntx__hyeongjin,NTX,Hyeongjin,"""엔티엑스"" 형진",,
ntx__yunhyeok,NTX,Yunhyeok,"""엔티엑스"" 윤혁",,
ntx__xiha,NTX,Xiha,"""엔티엑스"" 시하",,
ntx__changhun,NTX,Changhun,"""엔티엑스"" 창훈",,
ntx__hojun,NTX,Hojun,"""엔티엑스"" 호준",,
ntx__rawhyun,NTX,Rawhyun,"""엔티엑스"" 로현",,
ntx__eunho,NTX,Eunho,"""엔티엑스"" 은호",,
ntx__seungwon,NTX,Seungwon,"""엔티엑스"" 승원",,
fantasy_boys__kang_minseo,FANTASY BOYS,Kang Minseo,"""판타지보이즈"" 강민서",,
fantasy_boys__lee_hanbin,FANTASY BOYS,Lee Hanbin,"""판타지보이즈"" 이한빈",,
fantasy_boys__hikari,FANTASY BOYS,Hikari,"""판타지보이즈"" 히카리",,
fantasy_boys__ling_qi,FANTASY BOYS,Ling Qi,"""판타지보이즈"" 링치",,
fantasy_boys__hikaru,FANTASY BOYS,Hikaru,"""판타지보이즈"" 히카루",,
fantasy_boys__kim_wooseok,FANTASY BOYS,Kim Wooseok,"""판타지보이즈"" 김우석",,
fantasy_boys__hong_sungmin,FANTASY BOYS,Hong Sungmin,"""판타지보이즈"" 홍성민",,
fantasy_boys__oh_hyeontae,FANTASY BOYS,Oh Hyeontae,"""판타지보이즈"" 오현태",,
fantasy_boys__kim_gyurae,FANTASY BOYS,Kim Gyurae,"""판타지보이즈"" 김규래",,
fantasy_boys__kaedan,FANTASY BOYS,Kaedan,"""판타지보이즈"" 케이단",,
sevenus__heejae,SEVENUS,Heejae,"""세븐어스"" 희재",,
sevenus__ireah,SEVENUS,Ireah,"""세븐어스"" 이레",,
hifi_unicorn__taemin,Hi-Fi Un!corn,Taemin,"""하이파이유니콘"" 태민",,
hifi_unicorn__shuto,Hi-Fi Un!corn,Shuto,"""하이파이유니콘"" 슈토",,
hifi_unicorn__hyunyul,Hi-Fi Un!corn,Hyunyul,"""하이파이유니콘"" 현율",,
hifi_unicorn__kiyoon,Hi-Fi Un!corn,Kiyoon,"""하이파이유니콘"" 기윤",,
hifi_unicorn__min,Hi-Fi Un!corn,Min,"""하이파이유니콘"" 민",,
pow__jungbin,POW,Jungbin,"""POW"" 정빈",,
pow__yorch,POW,Yorch,"""POW"" 요치",,
pow__hyunbin,POW,Hyunbin,"""POW"" 현빈",,
pow__dongyeon,POW,Dongyeon,"""POW"" 동연",,
pow__hong,POW,Hong,"""POW"" 홍",,
cmdm__byunghoon,CMDM,Byunghoon,"""CMDM"" 병훈",,
cmdm__hyunhah,CMDM,Hyunhah,"""CMDM"" 현하",,
cmdm__junhyoung,CMDM,Junhyoung,"""CMDM"" 준형",,
cmdm__heeju,CMDM,Heeju,"""CMDM"" 희주",,
cmdm__nohyul,CMDM,Nohyul,"""CMDM"" 노율",,
ampersandone__kamden,AMPERS&ONE,Kamden,"""앰퍼샌드원"" 캠든",,
ampersandone__brian,AMPERS&ONE,Brian,"""앰퍼샌드원"" 브라이언",,
ampersandone__jiho,AMPERS&ONE,Jiho,"""앰퍼샌드원"" 지호",,
ampersandone__siyun,AMPERS&ONE,Siyun,"""앰퍼샌드원"" 시윤",,
ampersandone__mackiah,AMPERS&ONE,Mackiah,"""앰퍼샌드원"" 마카야",,
ampersandone__kyrell,AMPERS&ONE,Kyrell,"""앰퍼샌드원"" 카이렐",,
ampersandone__seungmo,AMPERS&ONE,Seungmo,"""앰퍼샌드원"" 승모",,
btob__eunkwang,BTOB,Eunkwang,"""비투비"" 은광",,
btob__minhyuk,BTOB,Minhyuk,"""비투비"" 민혁",비투비|이민혁,
btob__changsub,BTOB,Changsub,"""비투비"" 창섭",,
btob__hyunsik,BTOB,Hyunsik,"""비투비"" 현식",,
btob__peniel,BTOB,Peniel,"""비투비"" 프니엘",,
btob__sungjae,BTOB,Sungjae,"""비투비"" 성재",,
arrc__hyunmin,ARrC,Hyunmin,"""ARrC"" 현민",,
arrc__kien,ARrC,Kien,"""ARrC"" 끼엔",,
arrc__choi_han,ARrC,Choi Han,"""ARrC"" 최한",,
arrc__andy,ARrC,Andy,"""ARrC"" 앤디",,
arrc__rioto,ARrC,Rioto,"""ARrC"" 리오토",,
arrc__doha,ARrC,Doha,"""ARrC"" 도하",,
arrc__jibeen,ARrC,Jibeen,"""ARrC"" 지빈",,
daychild__siwoo,DAYCHILD,Siwoo,"""데이차일드"" 시우",,
daychild__intae,DAYCHILD,Intae,"""데이차일드"" 인태",,
daychild__k,DAYCHILD,K,"""데이차일드"" 케이",,
daychild__eden,DAYCHILD,Eden,"""데이차일드"" 이든",,
daychild__yejong,DAYCHILD,Yejong,"""데이차일드"" 예종",,
dragon_pony__an_taegyu,Dragon Pony,An Taegyu,"""드래곤포니"" 안태규",,
dragon_pony__pyun_sunghyun,Dragon Pony,Pyun Sunghyun,"""드래곤포니"" 편성현",,
dragon_pony__kwon_sehyuk,Dragon Pony,Kwon Sehyuk,"""드래곤포니"" 권세혁",,
dragon_pony__ko_ganghun,Dragon Pony,Ko Ganghun,"""드래곤포니"" 고강훈",,
nowz__hyeonbin,NOWZ,Hyeonbin,"""나우즈"" 현빈",,
nowz__yoon,NOWZ,Yoon,"""나우즈"" 윤",,
nowz__yeonwoo,NOWZ,Yeonwoo,"""나우즈"" 연우",,
nowz__jinhyuk,NOWZ,Jinhyuk,"""나우즈"" 진혁",,
nowz__siyun,NOWZ,Siyun,"""나우즈"" 시윤",,
waker__kohyeon,WAKER,Kohyeon,"""WAKER"" 고현",,
waker__kwon_hyeop,WAKER,Kwon Hyeop,"""WAKER"" 권협",,
waker__ijun,WAKER,Ijun,"""WAKER"" 이준",,
waker__leo,WAKER,Leo,"""WAKER"" 리오",,
waker__saebyeol,WAKER,Saebyeol,"""WAKER"" 새별",,
waker__sebum,WAKER,Sebum,"""WAKER"" 세범",,
cortis__martin,CORTIS,Martin,"""코르티스"" 마틴",,
cortis__james,CORTIS,James,"""코르티스"" 제임스",,
cortis__juhoon,CORTIS,Juhoon,"""코르티스"" 주훈",,
cortis__seonghyeon,CORTIS,Seonghyeon,"""코르티스"" 성현",,
cortis__keonho,CORTIS,Keonho,"""코르티스"" 건호",,
ahof__steven,AHOF,Steven,"""AHOF"" 스티븐",,
ahof__jeongwoo,AHOF,Jeongwoo,"""AHOF"" 정우",,
ahof__woongki,AHOF,Woongki,"""AHOF"" 웅기",,
ahof__shuaibo,AHOF,Shuaibo,"""AHOF"" 슈아이보",,
ahof__han,AHOF,Han,"""AHOF"" 한",,
ahof__jl,AHOF,JL,"""AHOF"" 제이엘",,
ahof__juwon,AHOF,Juwon,"""AHOF"" 주원",,
ahof__chih_en,AHOF,Chih En,"""AHOF"" 즈언",,
ahof__daisuke,AHOF,Daisuke,"""AHOF"" 다이스케",,
axmxp__ha_yoojoon,AxMxP,Ha Yoojoon,"""AxMxP"" 하유준",,
axmxp__cru,AxMxP,Cru,"""AxMxP"" 크루",,
axmxp__kim_shin,AxMxP,Kim Shin,"""AxMxP"" 김신",,
axmxp__juhwan,AxMxP,Juhwan,"""AxMxP"" 주환",,
be_boys__goohyun,BE BOYS,Goohyun,"""비보이즈"" 구현",,
be_boys__minjoon,BE BOYS,Minjoon,"""비보이즈"" 민준",,
be_boys__yunseo,BE BOYS,Yunseo,"""비보이즈"" 윤서",,
be_boys__hakseong,BE BOYS,Hakseong,"""비보이즈"" 학성",,
be_boys__takuma,BE BOYS,Takuma,"""비보이즈"" 타쿠마",,
be_boys__woncheon,BE BOYS,Woncheon,"""비보이즈"" 원천",,
close_your_eyes__jeon_minwook,CLOSE YOUR EYES,Jeon Minwook,"""클로즈유어아이즈"" 전민욱",,
close_your_eyes__jang_yeojun,CLOSE YOUR EYES,Jang Yeojun,"""클로즈유어아이즈"" 장여준",,
close_your_eyes__ma_jingxiang,CLOSE YOUR EYES,Ma Jingxiang,"""클로즈유어아이즈"" 마징시앙",,
close_your_eyes__kim_sungmin,CLOSE YOUR EYES,Kim Sungmin,"""클로즈유어아이즈"" 김성민",,
close_your_eyes__song_seungho,CLOSE YOUR EYES,Song Seungho,"""클로즈유어아이즈"" 송승호",,
close_your_eyes__kenshin,CLOSE YOUR EYES,Kenshin,"""클로즈유어아이즈"" 켄신",,
close_your_eyes__seo_kyoungbae,CLOSE YOUR EYES,Seo Kyoungbae,"""클로즈유어아이즈"" 서경배",,
idntt__nam_jiwoon,idntt,Nam JiWoon,"""idntt"" 남지운",,
idntt__kim_dohun,idntt,Kim DoHun,"""idntt"" 김도훈",,
idntt__lee_cheongmyeong,idntt,Lee CheongMyeong,"""idntt"" 이청명",,
idntt__choi_taein,idntt,Choi TaeIn,"""idntt"" 최태인",,
idntt__han_yejoon,idntt,Han YeJoon,"""idntt"" 한예준",,
idntt__towa,idntt,Towa,"""idntt"" 토와",,
idntt__kim_juho,idntt,Kim JuHo,"""idntt"" 김주호",,
idntt__kim_seongjun,idntt,Kim SeongJun,"""idntt"" 김성준",,
idntt__kim_heeju,idntt,Kim HeeJu,"""idntt"" 김희주",,
idntt__lee_jaeyoung,idntt,Lee JaeYoung,"""idntt"" 이재영",,
idntt__choi_gyeongbeen,idntt,Choi GyeongBeen,"""idntt"" 최경빈",,
idntt__park_nuri,idntt,Park NuRi,"""idntt"" 박누리",,
idntt__hwang_eunsoo,idntt,Hwang EunSoo,"""idntt"" 황은수",,
idntt__lee_hwanhee,idntt,Lee HwanHee,"""idntt"" 이환희",,
idntt__lee_kyuhyuk,idntt,Lee KyuHyuk,"""idntt"" 이규혁",,
newbeat__park_minseok,NEWBEAT,Park Minseok,"""뉴비트"" 박민석",,
newbeat__hong_minsung,NEWBEAT,Hong Minsung,"""뉴비트"" 홍민성",,
newbeat__jeon_yeoyeojeong,NEWBEAT,Jeon Yeoyeojeong,"""뉴비트"" 전여여정",,
newbeat__choi_seohyun,NEWBEAT,Choi Seohyun,"""뉴비트"" 최서현",,
newbeat__kim_taeyang,NEWBEAT,Kim Taeyang,"""뉴비트"" 김태양",,
newbeat__jo_yunhu,NEWBEAT,Jo Yunhu,"""뉴비트"" 조윤후",,
newbeat__kim_riwoo,NEWBEAT,Kim Riwoo,"""뉴비트"" 김리우",,
nouera__gihyeon,NouerA,Gihyeon,"""누에라"" 기현",,
nouera__junpyo,NouerA,Junpyo,"""누에라"" 준표",,
nouera__hyunjun,NouerA,Hyunjun,"""누에라"" 현준",,
nouera__yuseop,NouerA,Yuseop,"""누에라"" 유섭",,
nouera__lin,NouerA,Lin,"""누에라"" 린",,
nouera__fan,NouerA,Fan,"""누에라"" 판",,
nouera__miraku,NouerA,Miraku,"""누에라"" 미라쿠",,
polarix__pentor,POLARIX,Pentor,"""폴라릭스"" 펜떠",,
polarix__hangyul,POLARIX,Hangyul,"""폴라릭스"" 한결",,
polarix__lee_junhyuk,POLARIX,Lee Junhyuk,"""폴라릭스"" 이준혁",,
polarix__xu_shihuan,POLARIX,Xu Shihuan,"""폴라릭스"" 허세환",,
polarix__yang_donghwa,POLARIX,Yang Donghwa,"""폴라릭스"" 양동화",,
polarix__lee_daeul,POLARIX,Lee Daeul,"""폴라릭스"" 이다을",,
polarix__zai,POLARIX,Zai,"""폴라릭스"" 자이",,
polarix__shao_ziheng,POLARIX,Shao Ziheng,"""폴라릭스"" 샤오쯔헝",,
polarix__xin_che,POLARIX,Xin Che,"""폴라릭스"" 신처",,
xlov__wumuti,XLOV,Wumuti,"""XLOV"" 우무티",,
xlov__rui,XLOV,Rui,"""XLOV"" 루이",,
xlov__hyun,XLOV,Hyun,"""XLOV"" 현",,
xlov__haru,XLOV,Haru,"""XLOV"" 하루",,
alpha_drive_one__junseo,ALPHA DRIVE ONE,Junseo,"""알파드라이브원"" 준서",,
alpha_drive_one__arno,ALPHA DRIVE ONE,Arno,"""알파드라이브원"" 아르노",,
alpha_drive_one__leo,ALPHA DRIVE ONE,Leo,"""알파드라이브원"" 리오",,
alpha_drive_one__geonwoo,ALPHA DRIVE ONE,Geonwoo,"""알파드라이브원"" 건우",,
alpha_drive_one__sangwon,ALPHA DRIVE ONE,Sangwon,"""알파드라이브원"" 상원",,
alpha_drive_one__xinlong,ALPHA DRIVE ONE,Xinlong,"""알파드라이브원"" 씬롱",,
alpha_drive_one__anxin,ALPHA DRIVE ONE,Anxin,"""알파드라이브원"" 안신",,
alpha_drive_one__sanghyeon,ALPHA DRIVE ONE,Sanghyeon,"""알파드라이브원"" 상현",,
adap__junseok,ADAP,Junseok,"""ADAP"" 준석",,ATBO|오준석
adap__hyotae,ADAP,Hyotae,"""ADAP"" 효태",,
adap__jaeyoung,ADAP,Jaeyoung,"""ADAP"" 재영",,NCT|Golden Child
adap__dowon,ADAP,Dowon,"""ADAP"" 도원",,
adap__jongho,ADAP,Jongho,"""ADAP"" 종호",,ATBO
adap__hyunsung,ADAP,Hyunsung,"""ADAP"" 현성",,SEVENTEEN|ZEROBASEONE
and2ble__zhang_hao,AND2BLE,Zhang Hao,"""앤더블"" 장하오",,
and2ble__ricky,AND2BLE,Ricky,"""앤더블"" 리키",,
and2ble__kim_gyuvin,AND2BLE,Kim Gyuvin,"""앤더블"" 김규빈",,
and2ble__han_yujin,AND2BLE,Han Yujin,"""앤더블"" 한유진",,
and2ble__yoo_seungeon,AND2BLE,Yoo Seungeon,"""앤더블"" 유승언",,
daily_direction__en_kim,DAILY:DIRECTION,EN-KIM,"""데일리디렉션"" 엔킴",,
daily_direction__kim_joohyoung,DAILY:DIRECTION,Kim Joohyoung,"""데일리디렉션"" 김주형",,
daily_direction__lim_jihwan,DAILY:DIRECTION,Lim Jihwan,"""데일리디렉션"" 임지환",,
daily_direction__e_van,DAILY:DIRECTION,E-VAN,"""데일리디렉션"" 이반",,
daily_direction__lee_wonwoo,DAILY:DIRECTION,Lee Wonwoo,"""데일리디렉션"" 이원우",,
daily_direction__jang_yoonseok,DAILY:DIRECTION,Jang Yoonseok,"""데일리디렉션"" 장윤석",,
hrtz_wav__youn_youngjun,hrtz.wav,Youn Youngjun,"""hrtz.wav"" 윤영준",,
hrtz_wav__riaan,hrtz.wav,Riaan,"""hrtz.wav"" 리안",,
hrtz_wav__dane,hrtz.wav,Dane,"""hrtz.wav"" 데인",,
hrtz_wav__keiten,hrtz.wav,Keiten,"""hrtz.wav"" 케이텐",,
vayonn__sen,VAYONN,Sen,"""베이온"" 센",,
vayonn__masato,VAYONN,Masato,"""베이온"" 마사토",,
vayonn__teru,VAYONN,Teru,"""베이온"" 테루",,
vayonn__peng_jinyu,VAYONN,Peng Jinyu,"""베이온"" 펑진위",,
vayonn__sun_jiayang,VAYONN,Sun Jiayang,"""베이온"" 쑨지아양",,
vayonn__mano,VAYONN,Mano,"""베이온"" 마노",,
lngshot__ohyul,LNGSHOT,Ohyul,"""LNGSHOT"" 오율",,
lngshot__ryul,LNGSHOT,Ryul,"""LNGSHOT"" 률",,
lngshot__woojin,LNGSHOT,Woojin,"""LNGSHOT"" 우진",,
lngshot__louis,LNGSHOT,Louis,"""LNGSHOT"" 루이",,
modyssey__hengyu,MODYSSEY,Hengyu,"""MODYSSEY"" 헝위",,
modyssey__yichen,MODYSSEY,Yichen,"""MODYSSEY"" 이첸",,
modyssey__rowan,MODYSSEY,Rowan,"""MODYSSEY"" 로완",,
modyssey__lynnlynn,MODYSSEY,LynnLynn,"""MODYSSEY"" 린린",,
modyssey__li_zihao,MODYSSEY,Li Zihao,"""MODYSSEY"" 리즈하오",,
modyssey__suren,MODYSSEY,Suren,"""MODYSSEY"" 수런",,
modyssey__fan_zheyi,MODYSSEY,Fan Zheyi,"""MODYSSEY"" 판저이",,
naze__ato,NAZE,Ato,"""NAZE"" 아토",,
naze__kaisei,NAZE,Kaisei,"""NAZE"" 카이세이",,
naze__younki,NAZE,Younki,"""NAZE"" 윤기",,
naze__turn,NAZE,Turn,"""NAZE"" 턴",,
naze__yuya,NAZE,Yuya,"""NAZE"" 유야",,
naze__kimkun,NAZE,Kimkun,"""NAZE"" 김건",,
naze__dohyeok,NAZE,Dohyeok,"""NAZE"" 도혁",,
nxd__jaemin,NXD,Jaemin,"""NXD"" 재민",,
nxd__hyeonggeun,NXD,Hyeonggeun,"""NXD"" 형근",,
nxd__daehyun,NXD,Daehyun,"""NXD"" 대현",,
yuhz__bohyeon,YUHZ,Bohyeon,"""YUHZ"" 보현",,
yuhz__hyo,YUHZ,Hyo,"""YUHZ"" 효",,
yuhz__haruto,YUHZ,Haruto,"""YUHZ"" 하루토",,
yuhz__junseong,YUHZ,Junseong,"""YUHZ"" 준성",,
yuhz__jaeil,YUHZ,Jaeil,"""YUHZ"" 재일",,
yuhz__kai,YUHZ,Kai,"""YUHZ"" 카이",,
yuhz__yeontae,YUHZ,Yeontae,"""YUHZ"" 연태",,
yuhz__sechan,YUHZ,Sechan,"""YUHZ"" 세찬",,
the_ssyndrome__seok_junho,THE SSYNDROME,Seok Junho,"""더씬드롬"" 석준호",,
the_ssyndrome__yang_heegyo,THE SSYNDROME,Yang Heegyo,"""더씬드롬"" 양희교",,
the_ssyndrome__do_minkyu,THE SSYNDROME,Do Minkyu,"""더씬드롬"" 도민규",,
the_ssyndrome__jung_jiyeong,THE SSYNDROME,Jung Jiyeong,"""더씬드롬"" 정지영",,
the_ssyndrome__shin_sei,THE SSYNDROME,Shin Sei,"""더씬드롬"" 신세이",,
niziu__mako,NiziU,Mako,"""NiziU"" 마코",,
niziu__rio,NiziU,Rio,"""NiziU"" 리오",,
niziu__maya,NiziU,Maya,"""NiziU"" 마야",,
niziu__riku,NiziU,Riku,"""NiziU"" 리쿠",,
niziu__ayaka,NiziU,Ayaka,"""NiziU"" 아야카",,
niziu__mayuka,NiziU,Mayuka,"""NiziU"" 마유카",,
niziu__rima,NiziU,Rima,"""NiziU"" 리마",,
niziu__miihi,NiziU,Miihi,"""NiziU"" 미이히",,
niziu__nina,NiziU,Nina,"""NiziU"" 니나",,
stayc__sumin,STAYC,Sumin,"""STAYC"" 수민",,
stayc__sieun,STAYC,Sieun,"""STAYC"" 시은",,
stayc__isa,STAYC,Isa,"""STAYC"" 아이사",,
stayc__seeun,STAYC,Seeun,"""STAYC"" 세은",,
stayc__yoon,STAYC,Yoon,"""STAYC"" 윤",,
stayc__j,STAYC,J,"""STAYC"" 재이",,
fifty_fifty__keena,FIFTY FIFTY,Keena,"""FIFTY FIFTY"" 키나",,
fifty_fifty__yewon,FIFTY FIFTY,Yewon,"""FIFTY FIFTY"" 예원",,
fifty_fifty__hana,FIFTY FIFTY,Hana,"""FIFTY FIFTY"" 하나",,
fifty_fifty__athena,FIFTY FIFTY,Athena,"""FIFTY FIFTY"" 아테나",,
fifty_fifty__saena,FIFTY FIFTY,Saena,"""FIFTY FIFTY"" 새나",,
fifty_fifty__sio,FIFTY FIFTY,Sio,"""FIFTY FIFTY"" 시오",,
fifty_fifty__aran,FIFTY FIFTY,Aran,"""FIFTY FIFTY"" 아란",,
h1_key__seoi,H1-KEY,Seoi,"""H1-KEY"" 서이",,
h1_key__riina,H1-KEY,Riina,"""H1-KEY"" 리이나",,
h1_key__hwiseo,H1-KEY,Hwiseo,"""H1-KEY"" 휘서",,
h1_key__yel,H1-KEY,Yel,"""H1-KEY"" 옐",,
h1_key__sitala,H1-KEY,Sitala,"""H1-KEY"" 시탈라",,
kep1er__yujin,Kep1er,Yujin,"""Kep1er"" 유진",,
kep1er__xiaoting,Kep1er,Xiaoting,"""Kep1er"" 샤오팅",,
kep1er__chaehyun,Kep1er,Chaehyun,"""Kep1er"" 채현",,
kep1er__dayeon,Kep1er,Dayeon,"""Kep1er"" 다연",,
kep1er__hikaru,Kep1er,Hikaru,"""Kep1er"" 히카루",,
kep1er__huening_bahiyyih,Kep1er,Huening Bahiyyih,"""Kep1er"" 휴닝바히에",,
kep1er__youngeun,Kep1er,Youngeun,"""Kep1er"" 영은",,
kep1er__mashiro,Kep1er,Mashiro,"""Kep1er"" 마시로",,
kep1er__yeseo,Kep1er,Yeseo,"""Kep1er"" 예서",,
viviz__eunha,VIVIZ,Eunha,"""VIVIZ"" 은하",,
viviz__sinb,VIVIZ,SinB,"""VIVIZ"" 신비",,
viviz__umji,VIVIZ,Umji,"""VIVIZ"" 엄지",,
kiss_of_life__julie,KISS OF LIFE,Julie,"""KISS OF LIFE"" 쥴리",,
kiss_of_life__natty,KISS OF LIFE,Natty,"""KISS OF LIFE"" 나띠",,
kiss_of_life__belle,KISS OF LIFE,Belle,"""KISS OF LIFE"" 벨",,
kiss_of_life__haneul,KISS OF LIFE,Haneul,"""KISS OF LIFE"" 하늘",,
qwer__chodan,QWER,Chodan,"""QWER"" 쵸단",,
qwer__magenta,QWER,Magenta,"""QWER"" 마젠타",,
qwer__siyeon,QWER,Siyeon,"""QWER"" 시연",,
qwer__hina,QWER,Hina,"""QWER"" 히나",,
artms__jinsoul,ARTMS,JinSoul,"""ARTMS"" 진솔",,
artms__kim_lip,ARTMS,Kim Lip,"""ARTMS"" 김립",,
artms__choerry,ARTMS,Choerry,"""ARTMS"" 최리",,
artms__haseul,ARTMS,HaSeul,"""ARTMS"" 하슬",,
illit__yunah,ILLIT,Yunah,"""ILLIT"" 윤아",,
illit__minju,ILLIT,Minju,"""ILLIT"" 민주",,
illit__moka,ILLIT,Moka,"""ILLIT"" 모카",,
illit__wonhee,ILLIT,Wonhee,"""ILLIT"" 원희",,
illit__iroha,ILLIT,Iroha,"""ILLIT"" 이로하",,
meovv__sooin,MEOVV,Sooin,"""MEOVV"" 수인",,
meovv__gawon,MEOVV,Gawon,"""MEOVV"" 가원",,
meovv__anna,MEOVV,Anna,"""MEOVV"" 안나",,
meovv__narin,MEOVV,Narin,"""MEOVV"" 나린",,
meovv__ella,MEOVV,Ella,"""MEOVV"" 엘라",,
izna__mai,izna,Mai,"""izna"" 마이",,
izna__koko,izna,Koko,"""izna"" 코코",,
rescene__woni,RESCENE,Woni,"""RESCENE"" 원이",,
rescene__liv,RESCENE,Liv,"""RESCENE"" 리브",,
rescene__minami,RESCENE,Minami,"""RESCENE"" 미나미",,
rescene__may,RESCENE,May,"""RESCENE"" 메이",,
rescene__zena,RESCENE,Zena,"""RESCENE"" 제나",,
say_my_name__hitomi,SAY MY NAME,Hitomi,"""SAY MY NAME"" 히토미",,
say_my_name__shuie,SAY MY NAME,Shuie,"""SAY MY NAME"" 슈이",,
say_my_name__mei,SAY MY NAME,Mei,"""SAY MY NAME"" 메이",,
say_my_name__kanny,SAY MY NAME,Kanny,"""SAY MY NAME"" 카니",,
say_my_name__soha,SAY MY NAME,Soha,"""SAY MY NAME"" 소하",,
say_my_name__dohee,SAY MY NAME,Dohee,"""SAY MY NAME"" 도희",,
say_my_name__junhwi,SAY MY NAME,Junhwi,"""SAY MY NAME"" 준휘",,
say_my_name__seungjoo,SAY MY NAME,Seungjoo,"""SAY MY NAME"" 승주",,
hearts2hearts__jiwoo,Hearts2Hearts,Jiwoo,"""Hearts2Hearts"" 지우",,
hearts2hearts__carmen,Hearts2Hearts,Carmen,"""Hearts2Hearts"" 카르멘",,
hearts2hearts__yuha,Hearts2Hearts,Yuha,"""Hearts2Hearts"" 유하",,
hearts2hearts__stella,Hearts2Hearts,Stella,"""Hearts2Hearts"" 스텔라",,
hearts2hearts__juun,Hearts2Hearts,Juun,"""Hearts2Hearts"" 주은",,
hearts2hearts__a_na,Hearts2Hearts,A-na,"""Hearts2Hearts"" 에이나",,
hearts2hearts__ian,Hearts2Hearts,Ian,"""Hearts2Hearts"" 이안",,
hearts2hearts__ye_on,Hearts2Hearts,Ye-on,"""Hearts2Hearts"" 예온",,
kiiikiii__jiyu,KiiiKiii,Jiyu,"""KiiiKiii"" 지유",,
kiiikiii__leesol,KiiiKiii,Leesol,"""KiiiKiii"" 이솔",,
kiiikiii__sui,KiiiKiii,Sui,"""KiiiKiii"" 수이",,
kiiikiii__haum,KiiiKiii,Haum,"""KiiiKiii"" 하음",,
kiiikiii__kya,KiiiKiii,Kya,"""KiiiKiii"" 키야",,
katseye__yoonchae,KATSEYE,Yoonchae,"""KATSEYE"" 윤채",,
xg__jurin,XG,Jurin,"""XG"" 주린",,
xg__chisa,XG,Chisa,"""XG"" 치사",,
xg__hinata,XG,Hinata,"""XG"" 히나타",,
xg__harvey,XG,Harvey,"""XG"" 하비",,
xg__juria,XG,Juria,"""XG"" 쥬리아",,
xg__maya,XG,Maya,"""XG"" 마야",,
xg__cocona,XG,Cocona,"""XG"" 코코나",,
withus__janghyeon,withus,Janghyeon,"""withus"" 장현",,
withus__rak,withus,Rak,"""withus"" 락",,
withus__junyeop,withus,Junyeop,"""withus"" 준엽",,
withus__hwanrok,withus,Hwanrok,"""withus"" 환록",,
withus__junhyeok,withus,Junhyeok,"""withus"" 준혁",,
2f__nirai,2F,Nirai,"""2F"" 니라이",,
aimers__seunghyun,AIMERS,Seunghyun,"""AIMERS"" 승현",,
aimers__eunjun,AIMERS,Eunjun,"""AIMERS"" 은준",,
aimers__doryun,AIMERS,Doryun,"""AIMERS"" 도륜",,
aimers__yoel,AIMERS,Yoel,"""AIMERS"" 요엘",,
aimers__seunghwan,AIMERS,Seunghwan,"""AIMERS"" 승환",,
aimers__wooyoung,AIMERS,Wooyoung,"""AIMERS"" 우영",,
jwiiver__rihan,JWiiver,Rihan,"""JWiiver"" 리한",,
jwiiver__chae_gaho,JWiiver,Chae Gaho,"""JWiiver"" 채가호",,
jwiiver__gabin,JWiiver,Gabin,"""JWiiver"" 가빈",,
jwiiver__jukang,JWiiver,Jukang,"""JWiiver"" 주강",,
vi_enx__jn,VI'ENX,JN,"""VI'ENX"" 제이엔",,
vi_enx__yeung,VI'ENX,Yeung,"""VI'ENX"" 예웅",,
vi_enx__younghoon,VI'ENX,Younghoon,"""VI'ENX"" 영훈",,
vi_enx__wonjin,VI'ENX,Wonjin,"""VI'ENX"" 원진",,
vi_enx__uin,VI'ENX,Uin,"""VI'ENX"" 유인",,
b_d_u__bitsaeon,B.D.U,Bitsaeon,"""B.D.U"" 빛새온",,
b_d_u__seunghun,B.D.U,Seunghun,"""B.D.U"" 승훈",,
b_d_u__jay_chang,B.D.U,Jay Chang,"""B.D.U"" 제이창",,
b_d_u__kim_minseo,B.D.U,Kim Minseo,"""B.D.U"" 김민서",,
vay_onn__sen,VAY ONN,Sen,"""VAY ONN"" 센",,
vay_onn__masato,VAY ONN,Masato,"""VAY ONN"" 마사토",,
vay_onn__sun_jiayang,VAY ONN,Sun Jiayang,"""VAY ONN"" 쑨지아양",,
vay_onn__peng_jinyu,VAY ONN,Peng Jinyu,"""VAY ONN"" 펑진위",,
vay_onn__teru,VAY ONN,Teru,"""VAY ONN"" 테루",,
vay_onn__mano,VAY ONN,Mano,"""VAY ONN"" 마노",,
